province,last_updated,data » date,data » change_cases,data » change_fatalities,data » change_tests,data » change_hospitalizations,data » change_criticals,data » change_recoveries,data » change_vaccinations,data » change_vaccinated,data » change_boosters_1,data » change_boosters_2,data » change_vaccines_distributed,data » total_cases,data » total_fatalities,data » total_tests,data » total_hospitalizations,data » total_criticals,data » total_recoveries,data » total_vaccinations,data » total_vaccinated,data » total_boosters_1,data » total_boosters_2,data » total_vaccines_distributed
qc,2024-03-15 17:41:45,2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-02-27,1,0,92,0,0,0,0,0,0,0,0,1,0,92,0,0,0,0,0,0,0,0
,,2020-02-28,0,0,13,0,0,0,0,0,0,0,0,1,0,105,0,0,0,0,0,0,0,0
,,2020-02-29,0,0,34,0,0,0,0,0,0,0,0,1,0,139,0,0,0,0,0,0,0,0
,,2020-03-01,0,0,0,0,0,0,0,0,0,0,0,1,0,139,0,0,0,0,0,0,0,0
,,2020-03-02,0,0,51,0,0,0,0,0,0,0,0,1,0,190,0,0,0,0,0,0,0,0
,,2020-03-03,0,0,14,0,0,0,0,0,0,0,0,1,0,204,0,0,0,0,0,0,0,0
,,2020-03-04,0,0,0,0,0,0,0,0,0,0,0,1,0,204,0,0,0,0,0,0,0,0
,,2020-03-05,2,0,40,0,0,0,0,0,0,0,0,3,0,244,0,0,0,0,0,0,0,0
,,2020-03-06,0,0,19,0,0,0,0,0,0,0,0,3,0,263,0,0,0,0,0,0,0,0
,,2020-03-07,0,0,43,0,0,0,0,0,0,0,0,3,0,306,0,0,0,0,0,0,0,0
,,2020-03-08,1,0,38,0,0,0,0,0,0,0,0,4,0,344,0,0,0,0,0,0,0,0
,,2020-03-09,1,0,9,0,0,0,0,0,0,0,0,5,0,353,0,0,0,0,0,0,0,0
,,2020-03-10,2,0,68,0,0,0,0,0,0,0,0,7,0,421,0,0,0,0,0,0,0,0
,,2020-03-11,2,0,145,0,0,0,0,0,0,0,0,9,0,566,0,0,0,0,0,0,0,0
,,2020-03-12,8,0,225,0,0,0,0,0,0,0,0,17,0,791,0,0,0,0,0,0,0,0
,,2020-03-13,0,0,377,0,0,0,0,0,0,0,0,17,0,1168,0,0,0,0,0,0,0,0
,,2020-03-14,7,0,287,0,0,0,0,0,0,0,0,24,0,1455,0,0,0,0,0,0,0,0
,,2020-03-15,15,0,695,0,0,0,0,0,0,0,0,39,0,2150,0,0,0,0,0,0,0,0
,,2020-03-16,11,0,811,2,0,0,0,0,0,0,0,50,0,2961,2,0,0,0,0,0,0,0
,,2020-03-17,24,0,1157,3,0,0,0,0,0,0,0,74,0,4118,5,0,0,0,0,0,0,0
,,2020-03-18,20,1,1459,1,4,1,0,0,0,0,0,94,1,5577,6,4,1,0,0,0,0,0
,,2020-03-19,27,0,2246,1,0,0,0,0,0,0,0,121,1,7823,7,4,1,0,0,0,0,0
,,2020-03-20,18,0,3597,3,2,0,0,0,0,0,0,139,1,11420,10,6,1,0,0,0,0,0
,,2020-03-21,42,3,3990,10,4,0,0,0,0,0,0,181,4,15410,20,10,1,0,0,0,0,0
,,2020-03-22,38,0,3995,4,3,0,0,0,0,0,0,219,4,19405,24,13,1,0,0,0,0,0
,,2020-03-23,409,0,4434,21,7,0,0,0,0,0,0,628,4,23839,45,20,1,0,0,0,0,0
,,2020-03-24,412,0,3952,22,11,0,0,0,0,0,0,1040,4,27791,67,31,1,0,0,0,0,0
,,2020-03-25,299,2,4024,11,4,0,0,0,0,0,0,1339,6,31815,78,35,1,0,0,0,0,0
,,2020-03-26,290,2,5394,28,8,0,0,0,0,0,0,1629,8,37209,106,43,1,0,0,0,0,0
,,2020-03-27,392,10,5299,35,7,28,0,0,0,0,0,2021,18,42508,141,50,29,0,0,0,0,0
,,2020-03-28,477,4,6119,23,7,0,0,0,0,0,0,2498,22,48627,164,57,29,0,0,0,0,0
,,2020-03-29,342,0,5773,28,15,55,0,0,0,0,0,2840,22,54400,192,72,84,0,0,0,0,0
,,2020-03-30,590,3,6856,43,6,0,0,0,0,0,0,3430,25,61256,235,78,84,0,0,0,0,0
,,2020-03-31,732,6,7511,51,4,0,0,0,0,0,0,4162,31,68767,286,82,84,0,0,0,0,0
,,2020-04-01,449,2,7569,21,0,140,0,0,0,0,0,4611,33,76336,307,82,224,0,0,0,0,0
,,2020-04-02,907,3,6493,58,14,0,0,0,0,0,0,5518,36,82829,365,96,224,0,0,0,0,0
,,2020-04-03,583,25,7182,76,11,82,0,0,0,0,0,6101,61,90011,441,107,306,0,0,0,0,0
,,2020-04-04,896,14,7743,37,23,131,0,0,0,0,0,6997,75,97754,478,130,437,0,0,0,0,0
,,2020-04-05,947,19,4990,47,24,27,0,0,0,0,0,7944,94,102744,525,154,464,0,0,0,0,0
,,2020-04-06,636,27,3978,8,10,147,0,0,0,0,0,8580,121,106722,533,164,611,0,0,0,0,0
,,2020-04-07,760,29,4805,50,10,109,0,0,0,0,0,9340,150,111527,583,174,720,0,0,0,0,0
,,2020-04-08,691,25,5394,49,7,107,0,0,0,0,0,10031,175,116921,632,181,827,0,0,0,0,0
,,2020-04-09,881,41,4968,47,15,285,0,0,0,0,0,10912,216,121889,679,196,1112,0,0,0,0,0
,,2020-04-10,765,25,5508,54,-10,229,0,0,0,0,0,11677,241,127397,733,186,1341,0,0,0,0,0
,,2020-04-11,615,48,5267,45,25,222,0,0,0,0,0,12292,289,132664,778,211,1563,0,0,0,0,0
