covidID,dateID,province,totalcases,numdeaths,recovery
1,1,BC,53162,901,42129
2,1,AB,104633,1267,84827
3,1,SK,15844,158,12975
4,1,MB,25026,678,19789
5,1,ON,193960,4905,160526
6,1,QC,204101,7966,172047
7,1,NL,390,4,372
8,1,NB,611,9,568
9,1,NS,1497,65,1399
10,1,PE,97,0,89
11,1,YT,64,1,59
12,1,NT,24,0,24
13,1,NU,266,1,262
14,2,BC,57170,999,48205
15,2,AB,111729,1426,94932
16,2,SK,17807,191,14426
17,2,MB,26166,733,20769
18,2,ON,218835,5276,178224
19,2,QC,221559,8315,192979
20,2,NL,392,4,381
21,2,NB,765,9,585
22,2,NS,1525,65,1433
23,2,PE,100,0,93
24,2,YT,70,1,59
25,2,NT,24,0,24
26,2,NU,266,1,264
27,3,BC,60701,1064,53115
28,3,AB,117088,1557,101957
29,3,SK,19985,212,15730
30,3,MB,27322,761,23575
31,3,ON,240220,5644,200406
32,3,QC,235620,8682,210364
33,3,NL,395,4,383
34,3,NB,911,12,631
35,3,NS,1550,65,1459
36,3,PE,107,0,93
37,3,YT,70,1,67
38,3,NT,27,0,24
39,3,NU,266,1,264
40,4,BC,64011,1128,56455
41,4,AB,121013,1672,109078
42,4,SK,21917,250,18506
43,4,MB,28476,797,24307
44,4,ON,256636,6076,222287
45,4,QC,246131,9046,225245
46,4,NL,398,4,386
47,4,NB,1104,13,762
48,4,NS,1567,65,1485
49,4,PE,110,0,103
50,4,YT,70,1,69
51,4,NT,30,0,24
52,4,NU,275,1,264
53,5,BC,67187,1189,59551
54,5,AB,124049,1744,114586
55,5,SK,23626,300,20803
56,5,MB,29446,825,25095
57,5,ON,269410,6449,240494
58,5,QC,254885,9313,237088
59,5,NL,408,4,388
60,5,NB,1230,18,928
61,5,NS,1578,65,1504
62,5,PE,112,0,105
63,5,YT,70,1,69
64,5,NT,31,0,26
65,5,NU,289,1,263
66,6,BC,70144,1246,62567
67,6,AB,126646,1802,118445
68,6,SK,25209,336,22460
69,6,MB,30158,842,26007
70,6,ON,279192,6711,254966
71,6,QC,262303,9526,246695
72,6,NL,415,4,391
73,6,NB,1337,20,1095
74,6,NS,1585,65,1512
75,6,PE,114,0,110
76,6,YT,70,1,69
77,6,NT,32,0,35
78,6,NU,297,1,282
79,7,BC,73202,1298,67008
80,7,AB,128722,1854,121494
81,7,SK,26389,354,24085
82,7,MB,30687,866,28193
83,7,ON,287093,6881,265893
84,7,QC,268785,9685,255146
85,7,NL,686,4,394
86,7,NB,1398,22,1215
87,7,NS,1592,65,1517
88,7,PE,114,0,110
89,7,YT,71,1,69
90,7,NT,36,0,37
91,7,NU,313,1,297
92,8,BC,76339,1327,69970
93,8,AB,130974,1880,124114
94,8,SK,27438,368,25468
95,8,MB,31329,882,29240
96,8,ON,294555,7032,274714
97,8,QC,274137,9786,262506
98,8,NL,901,4,460
99,8,NB,1420,24,1309
100,8,NS,1605,65,1525
101,8,PE,115,0,113
102,8,YT,72,1,69
103,8,NT,41,0,39
104,8,NU,339,1,301
105,9,BC,79909,1355,73188
106,9,AB,133417,1905,126774
107,9,SK,28506,385,26573
108,9,MB,31809,893,29708
109,9,ON,302237,7129,282315
110,9,QC,279519,9858,268645
111,9,NL,980,5,701
112,9,NB,1430,26,1362
113,9,NS,1633,65,1534
114,9,PE,127,0,114
115,9,YT,72,1,71
116,9,NT,42,0,43
117,9,NU,356,1,328
118,10,BC,83652,1383,76752
119,10,AB,135748,1924,128974
120,10,SK,29593,396,27584
121,10,MB,32169,904,30151
122,10,ON,310175,7216,289735
123,10,QC,284471,9925,274245
124,10,NL,1005,6,908
125,10,NB,1453,28,1389
126,10,NS,1654,65,1563
127,10,PE,140,0,115
128,10,YT,72,1,71
129,10,NT,42,0,46
130,10,NU,372,1,354
131,11,BC,87422,1401,80325
132,11,AB,138286,1950,131502
133,11,SK,30522,405,28648
134,11,MB,32699,916,30874
135,11,ON,319674,7304,297403
136,11,QC,289484,9983,279230
137,11,NL,1012,6,949
138,11,NB,1465,30,1401
139,11,NS,1667,65,1585
140,11,PE,144,0,127
141,11,YT,72,1,71
142,11,NT,42,0,46
143,11,NU,382,1,367
144,12,BC,91342,1421,84078
145,12,AB,141763,1965,133800
146,12,SK,31459,417,29608
147,12,MB,33263,920,31188
148,12,ON,330714,7386,306050
149,12,QC,294906,10035,284203
150,12,NL,1014,6,999
151,12,NB,1489,30,1409
152,12,NS,1684,66,1599
153,12,PE,149,0,140
154,12,YT,72,1,71
155,12,NT,42,0,46
156,12,NU,390,3,389
157,13,BC,96613,1452,87866
158,13,AB,146161,1987,136350
159,13,SK,32783,430,30536
160,13,MB,33867,933,31744
161,13,ON,345114,7494,315865
162,13,QC,301135,10082,289132
163,13,NL,1015,6,1004
164,13,NB,1571,30,1430
165,13,NS,1705,66,1618
166,13,PE,156,0,144
167,13,YT,73,1,71
168,13,NT,42,0,47
169,13,NU,395,4,391
170,14,BC,103031,1463,91732
171,14,AB,152176,2002,138560
172,14,SK,34323,436,31744
173,14,MB,34352,938,32162
174,14,ON,364059,7607,327940
175,14,QC,309276,10129,294560
176,14,NL,1020,6,1006
177,14,NB,1641,30,1457
178,14,NS,1732,66,1634
179,14,PE,160,0,145
180,14,YT,74,1,71
181,14,NT,43,0,47
182,14,NU,395,4,391
183,15,BC,110823,1504,98336
184,15,AB,160737,2014,144020
185,15,SK,35984,453,33149
186,15,MB,35101,949,32896
187,15,ON,389643,7769,343622
188,15,QC,320991,10182,301740
189,15,NL,1029,6,1009
190,15,NB,1713,33,1531
191,15,NS,1765,66,1655
192,15,PE,163,0,152
193,15,YT,74,1,73
194,15,NT,43,0,48
195,15,NU,395,4,391
196,16,BC,118107,1530,105291
197,16,AB,170548,2037,149935
198,16,SK,37871,464,34550
199,16,MB,35989,958,33404
200,16,ON,420526,7968,364353
201,16,QC,331263,10253,311047
202,16,NL,1042,6,1011
203,16,NB,1778,33,1594
204,16,NS,1809,67,1689
205,16,PE,170,0,159
206,16,YT,76,1,73
207,16,NT,43,0,48
208,16,NU,414,4,391
209,17,BC,124639,1563,113139
210,17,AB,181452,2070,158603
211,17,SK,39683,473,36652
212,17,MB,37339,967,34481
213,17,ON,448876,8197,392044
214,17,QC,339012,10326,321667
215,17,NL,1056,6,1023
216,17,NB,1847,35,1675
217,17,NS,2034,67,1722
218,17,PE,176,0,164
219,17,YT,80,1,77
220,17,NT,49,0,49
221,17,NU,453,4,400
222,18,BC,130317,1581,119785
223,18,AB,194503,2102,168580
224,18,SK,41360,494,38414
225,18,MB,38993,976,35551
226,18,ON,474091,8425,421216
