Surrogate Keys,date,prname,province,totalcases,numdeaths,recovery,partial,fully,booster
1,2021-01-02,British Columbia,BC,53162,901,42129,17510,0,0
2,2021-01-02,Alberta,AB,104633,1267,84827,14244,0,0
3,2021-01-02,Saskatchewan,SK,15844,158,12975,3722,0,0
4,2021-01-02,Manitoba,MB,25026,678,19789,3540,2,0
5,2021-01-02,Ontario,ON,193960,4905,160526,33191,0,0
6,2021-01-02,Quebec,QC,204101,7966,172047,28691,1,0
7,2021-01-02,Newfoundland and Labrador,NL,390,4,372,1785,0,0
8,2021-01-02,New Brunswick,NB,611,9,568,2905,0,0
9,2021-01-02,Nova Scotia,NS,1497,65,1399,2596,0,0
10,2021-01-02,Prince Edward Island,PE,97,0,89,1932,0,0
11,2021-01-02,Yukon,YT,64,1,59,0,0,0
12,2021-01-02,Northwest Territories,NT,24,0,24,2,0,0
13,2021-01-02,Nunavut,NU,266,1,262,0,0,0
14,2021-01-09,British Columbia,BC,57170,999,48205,46259,0,0
15,2021-01-09,Alberta,AB,111729,1426,94932,42333,0,0
16,2021-01-09,Saskatchewan,SK,17807,191,14426,6964,0,0
17,2021-01-09,Manitoba,MB,26166,733,20769,8919,899,0
18,2021-01-09,Ontario,ON,218835,5276,178224,103263,2940,0
19,2021-01-09,Quebec,QC,221559,8315,192979,78886,102,0
20,2021-01-09,Newfoundland and Labrador,NL,392,4,381,1785,0,0
21,2021-01-09,New Brunswick,NB,765,9,585,5019,0,0
22,2021-01-09,Nova Scotia,NS,1525,65,1433,2720,0,0
23,2021-01-09,Prince Edward Island,PE,100,0,93,3600,0,0
24,2021-01-09,Yukon,YT,70,1,59,310,0,0
25,2021-01-09,Northwest Territories,NT,24,0,24,162,0,0
26,2021-01-09,Nunavut,NU,266,1,264,29,0,0
27,2021-01-16,British Columbia,BC,60701,1064,53115,75914,0,0
28,2021-01-16,Alberta,AB,117088,1557,101957,81561,0,0
29,2021-01-16,Saskatchewan,SK,19985,212,15730,16927,1752,0
30,2021-01-16,Manitoba,MB,27322,761,23575,17642,2201,0
31,2021-01-16,Ontario,ON,240220,5644,200406,189090,9667,0
32,2021-01-16,Quebec,QC,235620,8682,210364,144281,289,0
33,2021-01-16,Newfoundland and Labrador,NL,395,4,383,5291,1495,0
34,2021-01-16,New Brunswick,NB,911,12,631,7732,1862,0
35,2021-01-16,Nova Scotia,NS,1550,65,1459,7600,2200,0
36,2021-01-16,Prince Edward Island,PE,107,0,93,5102,1154,0
37,2021-01-16,Yukon,YT,70,1,67,1184,0,0
38,2021-01-16,Northwest Territories,NT,27,0,24,512,0,0
39,2021-01-16,Nunavut,NU,266,1,264,983,0,0
40,2021-01-23,British Columbia,BC,64011,1128,56455,110566,2202,0
41,2021-01-23,Alberta,AB,121013,1672,109078,98807,7272,0
42,2021-01-23,Saskatchewan,SK,21917,250,18506,32385,3416,0
