dateid,vacid,covidid,date,province,totalcases,recovery,death,partial,fully,booster,totalcases_change,recovery_change,death_change,partial_change,fully_change,booster_change
1,1,1,2021-01-02,BC,53162,42129,901,17510,0,0,0,0,0,0,0,0
1,2,2,2021-01-02,AB,104633,84827,1267,14244,0,0,0,0,0,0,0,0
1,3,3,2021-01-02,SK,15844,12975,158,3722,0,0,0,0,0,0,0,0
1,4,4,2021-01-02,MB,25026,19789,678,3540,2,0,0,0,0,0,0,0
1,5,5,2021-01-02,ON,193960,160526,4905,33191,0,0,0,0,0,0,0,0
1,6,6,2021-01-02,QC,204101,172047,7966,28691,1,0,0,0,0,0,0,0
1,7,7,2021-01-02,NL,390,372,4,1785,0,0,0,0,0,0,0,0
1,8,8,2021-01-02,NB,611,568,9,2905,0,0,0,0,0,0,0,0
1,9,9,2021-01-02,NS,1497,1399,65,2596,0,0,0,0,0,0,0,0
1,10,10,2021-01-02,PE,97,89,0,1932,0,0,0,0,0,0,0,0
1,11,11,2021-01-02,YT,64,59,1,0,0,0,0,0,0,0,0,0
1,12,12,2021-01-02,NT,24,24,0,2,0,0,0,0,0,0,0,0
1,13,13,2021-01-02,NU,266,262,1,0,0,0,0,0,0,0,0,0
2,14,14,2021-01-09,BC,57170,48205,999,46259,0,0,4008,6076,98,28749,0,0
2,15,15,2021-01-09,AB,111729,94932,1426,42333,0,0,7096,10105,159,28089,0,0
2,16,16,2021-01-09,SK,17807,14426,191,6964,0,0,1963,1451,33,3242,0,0
2,17,17,2021-01-09,MB,26166,20769,733,8919,899,0,1140,980,55,5379,897,0
2,18,18,2021-01-09,ON,218835,178224,5276,103263,2940,0,24875,17698,371,70072,2940,0
2,19,19,2021-01-09,QC,221559,192979,8315,78886,102,0,17458,20932,349,50195,101,0
2,20,20,2021-01-09,NL,392,381,4,1785,0,0,2,9,0,0,0,0
2,21,21,2021-01-09,NB,765,585,9,5019,0,0,154,17,0,2114,0,0
2,22,22,2021-01-09,NS,1525,1433,65,2720,0,0,28,34,0,124,0,0
2,23,23,2021-01-09,PE,100,93,0,3600,0,0,3,4,0,1668,0,0
2,24,24,2021-01-09,YT,70,59,1,310,0,0,6,0,0,310,0,0
2,25,25,2021-01-09,NT,24,24,0,162,0,0,0,0,0,160,0,0
2,26,26,2021-01-09,NU,266,264,1,29,0,0,0,2,0,29,0,0
3,27,27,2021-01-16,BC,60701,53115,1064,75914,0,0,3531,4910,65,29655,0,0
3,28,28,2021-01-16,AB,117088,101957,1557,81561,0,0,5359,7025,131,39228,0,0
3,29,29,2021-01-16,SK,19985,15730,212,16927,1752,0,2178,1304,21,9963,1752,0
3,30,30,2021-01-16,MB,27322,23575,761,17642,2201,0,1156,2806,28,8723,1302,0
3,31,31,2021-01-16,ON,240220,200406,5644,189090,9667,0,21385,22182,368,85827,6727,0
3,32,32,2021-01-16,QC,235620,210364,8682,144281,289,0,14061,17385,367,65395,187,0
3,33,33,2021-01-16,NL,395,383,4,5291,1495,0,3,2,0,3506,1495,0
3,34,34,2021-01-16,NB,911,631,12,7732,1862,0,146,46,3,2713,1862,0
3,35,35,2021-01-16,NS,1550,1459,65,7600,2200,0,25,26,0,4880,2200,0
3,36,36,2021-01-16,PE,107,93,0,5102,1154,0,7,0,0,1502,1154,0
3,37,37,2021-01-16,YT,70,67,1,1184,0,0,0,8,0,874,0,0
3,38,38,2021-01-16,NT,27,24,0,512,0,0,3,0,0,350,0,0
3,39,39,2021-01-16,NU,266,264,1,983,0,0,0,0,0,954,0,0
