vacID,dateID,province,partial,fully,booster
1,1,BC,17510,0,0
2,1,AB,14244,0,0
3,1,SK,3722,0,0
4,1,MB,3540,2,0
5,1,ON,33191,0,0
6,1,QC,28691,1,0
7,1,NL,1785,0,0
8,1,NB,2905,0,0
9,1,NS,2596,0,0
10,1,PE,1932,0,0
11,1,YT,0,0,0
12,1,NT,2,0,0
13,1,NU,0,0,0
14,2,BC,46259,0,0
15,2,AB,42333,0,0
16,2,SK,6964,0,0
17,2,MB,8919,899,0
18,2,ON,103263,2940,0
19,2,QC,78886,102,0
20,2,NL,1785,0,0
21,2,NB,5019,0,0
22,2,NS,2720,0,0
23,2,PE,3600,0,0
24,2,YT,310,0,0
25,2,NT,162,0,0
26,2,NU,29,0,0
27,3,BC,75914,0,0
28,3,AB,81561,0,0
29,3,SK,16927,1752,0
30,3,MB,17642,2201,0
31,3,ON,189090,9667,0
32,3,QC,144281,289,0
33,3,NL,5291,1495,0
34,3,NB,7732,1862,0
35,3,NS,7600,2200,0
36,3,PE,5102,1154,0
37,3,YT,1184,0,0
38,3,NT,512,0,0
39,3,NU,983,0,0
40,4,BC,110566,2202,0
41,4,AB,98807,7272,0
42,4,SK,32385,3416,0
43,4,MB,30764,3498,0
44,4,ON,276146,28954,0
45,4,QC,220997,685,0
46,4,NL,8549,1495,0
47,4,NB,10436,2567,0
48,4,NS,10575,2705,0
49,4,PE,6525,1799,0
50,4,YT,3730,0,0
51,4,NT,1893,0,0
52,4,NU,3822,0,0
53,5,BC,129241,4262,0
54,5,AB,105752,15648,0
55,5,SK,35239,4637,0
56,5,MB,41811,7834,0
57,5,ON,336828,67787,0
58,5,QC,251615,1515,0
59,5,NL,10080,1737,0
60,5,NB,14257,2839,0
61,5,NS,14589,2714,0
62,5,PE,7510,2232,0
63,5,YT,6496,0,0
64,5,NT,9471,0,0
65,5,NU,5316,0,0
66,6,BC,149564,10366,0
67,6,AB,116716,25540,0
68,6,SK,41254,8157,0
69,6,MB,47986,13003,0
70,6,ON,372666,96573,0
71,6,QC,269738,3073,0
72,6,NL,12596,3324,0
73,6,NB,17277,4460,0
74,6,NS,17295,4681,0
75,6,PE,8337,3037,0
76,6,YT,10519,0,0
77,6,NT,12366,125,0
78,6,NU,5649,0,0
79,7,BC,162982,17562,0
80,7,AB,144114,49166,0
81,7,SK,48566,12410,0
82,7,MB,56282,20152,0
83,7,ON,456947,164307,0
84,7,QC,312839,6244,3
85,7,NL,14687,4865,0
86,7,NB,18643,5347,0
87,7,NS,22343,7498,0
88,7,PE,9139,3787,0
89,7,YT,11514,909,0
90,7,NT,13132,299,0
91,7,NU,8339,2134,0
92,8,BC,192942,36923,0
93,8,AB,165527,63882,0
94,8,SK,57824,17745,0
95,8,MB,62812,25874,0
96,8,ON,540129,229151,0
97,8,QC,356352,7892,8
98,8,NL,16458,6112,0
99,8,NB,21182,7505,0
100,8,NS,25032,9782,0
101,8,PE,10691,4979,0
102,8,YT,11850,1223,0
103,8,NT,14157,579,0
104,8,NU,9049,2134,0
105,9,BC,252373,73808,0
106,9,AB,218696,85442,0
107,9,SK,75501,24591,0
108,9,MB,77119,29980,0
109,9,ON,668104,260972,0
110,9,QC,448160,9454,11
111,9,NL,20285,7466,0
112,9,NB,26317,11036,0
113,9,NS,32019,12105,0
114,9,PE,12176,5165,0
115,9,YT,15174,4309,0
116,9,NT,16454,1934,0
117,9,NU,11383,4107,0
118,10,BC,311208,86865,0
119,10,AB,282674,90824,0
120,10,SK,90456,28006,0
121,10,MB,93798,33551,0
122,10,ON,860412,270625,0
123,10,QC,567238,11072,12
124,10,NL,24757,8427,0
125,10,NB,33741,12142,0
126,10,NS,38676,14395,0
127,10,PE,13281,5273,0
128,10,YT,21097,7826,0
129,10,NT,19775,4558,0
130,10,NU,13911,5144,0
131,11,BC,380743,87024,0
132,11,AB,346135,91520,0
133,11,SK,100195,29029,0
134,11,MB,108919,35198,0
135,11,ON,1116496,284686,0
136,11,QC,724661,14910,16
137,11,NL,33621,9170,0
138,11,NB,38483,12152,0
139,11,NS,46891,15655,0
140,11,PE,15648,5603,0
141,11,YT,27738,9805,0
142,11,NT,28208,11151,0
143,11,NU,15889,5750,0
144,12,BC,490022,87139,0
145,12,AB,452690,92935,0
146,12,SK,133828,31162,0
147,12,MB,139050,44789,1
148,12,ON,1480882,297134,0
149,12,QC,965087,16723,18
150,12,NL,46053,9411,0
151,12,NB,57722,12200,0
152,12,NS,58036,20050,0
153,12,PE,16779,5614,0
154,12,YT,32350,10598,0
155,12,NT,32074,12389,0
156,12,NU,17997,6413,0
157,13,BC,637856,87233,0
158,13,AB,577223,95452,0
159,13,SK,167509,36494,0
160,13,MB,179856,56829,2
161,13,ON,1916332,308301,0
162,13,QC,1233657,18448,20
163,13,NL,55231,9527,0
164,13,NB,81064,12216,0
165,13,NS,83148,23662,0
166,13,PE,20258,6139,0
167,13,YT,34003,10870,0
168,13,NT,35397,13283,0
169,13,NU,19669,6785,0
170,14,BC,856801,87455,0
171,14,AB,653010,103926,0
172,14,SK,214246,39119,0
173,14,MB,238004,67961,3
174,14,ON,2424063,321469,0
175,14,QC,1552114,21476,24
176,14,NL,69851,9654,0
177,14,NB,116885,12250,0
178,14,NS,111403,29530,0
179,14,PE,25153,7212,0
180,14,YT,35470,11592,0
181,14,NT,37655,13933,0
182,14,NU,21012,7740,0
183,15,BC,1025019,87606,0
184,15,AB,847630,163532,0
185,15,SK,268895,40597,0
186,15,MB,290918,71602,6
187,15,ON,3044949,330982,0
188,15,QC,1903438,34281,27
189,15,NL,105652,9674,0
190,15,NB,150106,15559,0
191,15,NS,138348,30838,0
192,15,PE,30937,8241,0
193,15,YT,39687,15343,0
194,15,NT,38574,14471,0
195,15,NU,22865,9247,0
196,16,BC,1282091,87970,0
197,16,AB,1121901,220472,0
198,16,SK,334063,42523,0
199,16,MB,352207,73391,6
200,16,ON,3751316,344244,0
201,16,QC,2382755,50134,39
202,16,NL,130124,9674,0
203,16,NB,190460,17901,0
204,16,NS,194792,32255,0
205,16,PE,39504,9325,0
206,16,YT,44046,19125,0
207,16,NT,41217,16471,0
208,16,NU,24469,10434,0
209,17,BC,1542066,88663,0
210,17,AB,1361365,267195,0
211,17,SK,392294,43438,0
212,17,MB,433809,75453,10
213,17,ON,4527368,358776,0
214,17,QC,2863090,75110,55
215,17,NL,150624,9676,0
216,17,NB,236953,23548,0
217,17,NS,260788,34493,0
218,17,PE,46278,9768,0
219,17,YT,46822,21359,0
220,17,NT,44646,19271,0
221,17,NU,26855,11940,0
222,18,BC,1786772,90642,0
223,18,AB,1597666,299929,0
224,18,SK,435142,44324,0
225,18,MB,501887,78888,15
226,18,ON,5247684,373559,0
227,18,QC,3279548,126942,79
228,18,NL,177390,9676,0
229,18,NB,267662,26738,0
230,18,NS,312493,36381,0
231,18,PE,53202,10585,0
232,18,YT,48307,22403,0
233,18,NT,46800,20943,0
234,18,NU,28251,12395,0
235,19,BC,2042442,99461,0
236,19,AB,1846554,314504,0
237,19,SK,504482,46022,0
238,19,MB,565520,83289,19
239,19,ON,6023610,390990,0
240,19,QC,3768302,202520,111
241,19,NL,200591,9676,0
242,19,NB,302262,29688,0
243,19,NS,356978,37630,0
244,19,PE,59758,10750,0
245,19,YT,49439,23048,0
246,19,NT,48007,21674,0
247,19,NU,29096,12768,0
248,20,BC,2393265,124880,0
249,20,AB,2144280,327063,0
250,20,SK,571957,48264,0
251,20,MB,660756,89818,21
252,20,ON,6925232,422960,0
253,20,QC,4371914,277753,139
254,20,NL,232216,9876,0
255,20,NB,349662,32724,0
256,20,NS,415570,38830,0
257,20,PE,67758,11429,0
258,20,YT,50652,23673,0
259,20,NT,49811,22501,0
260,20,NU,29649,13080,0
261,21,BC,2744020,142406,0
262,21,AB,2460857,347008,0
263,21,SK,645384,55861,0
264,21,MB,754595,100354,24
265,21,ON,7925277,519981,0
266,21,QC,4999959,361787,178
267,21,NL,264031,10321,0
268,21,NB,411471,35702,0
269,21,NS,483549,40900,0
270,21,PE,78817,12156,0
271,21,YT,51758,24254,0
272,21,NT,51320,22960,0
273,21,NU,30824,13906,0
274,22,BC,3106269,160885,0
275,22,AB,2720687,381015,0
276,22,SK,706548,72818,0
277,22,MB,860724,119490,25
278,22,ON,8839445,659139,0
279,22,QC,5575192,451046,231
280,22,NL,297873,11401,0
281,22,NB,461042,38815,0
282,22,NS,560843,43252,0
283,22,PE,87861,12868,0
284,22,YT,52649,24763,0
285,22,NT,52237,23344,0
286,22,NU,31927,14783,0
287,23,BC,3488884,256725,0
288,23,AB,3013555,502833,0
289,23,SK,787130,122593,0
290,23,MB,952990,154828,30
291,23,ON,9834182,963257,0
292,23,QC,6195269,603440,347
293,23,NL,330103,14404,0
294,23,NB,520899,45646,0
295,23,NS,621661,44188,0
296,23,PE,98628,14254,0
297,23,YT,54166,25252,0
298,23,NT,53501,23922,0
299,23,NU,32675,15268,0
300,24,BC,3893581,497932,0
301,24,AB,3336850,729137,0
302,24,SK,878665,191808,0
303,24,MB,1050481,206595,33
304,24,ON,11022452,1667761,0
305,24,QC,6814136,901822,483
306,24,NL,363252,23712,0
307,24,NB,583855,69686,0
308,24,NS,678615,47930,0
309,24,PE,111616,16901,0
310,24,YT,55485,25789,0
311,24,NT,55078,24881,0
312,24,NU,33592,15707,0
