partial	fully	booster
84782244	31346409	18589083
39047671	13053759	1530
81657327	31020758	17862699
96966754	31609261	19667192
98868933	31592774	19687207
64937274	29305421	4188168
94348589	31670833	19505955
60450747	29007074	1191885
88905621	31548814	19116950
57671217	27732389	376367
86809232	31478759	18886012
79783888	30579792	16603208
97347820	31626078	19689830
53303118	25368333	17764
96694837	31748127	19730680
98330175	31605144	19693007
60024969	28871830	1031067
15797041	1282020	130
98258505	31611268	19697527
75828249	29808707	13812318
83596095	31290709	18444581
98410188	31596724	19685746
57134408	27453884	287541
58717091	28291344	583059
97403219	31627657	19692265
78902627	30341791	16039552
80399443	30760426	16982289
93279202	31649663	19434032
62020386	29122031	2183650
815195	54593	0
94887590	31684951	19549569
97640192	31628918	19698425
98070499	31626766	19701102
98319857	31606193	19693832
97449756	31628446	19693663
90216065	31582577	19254109
98274439	31609916	19696467
100384009	31593829	19708975
82043808	31135950	18105203
87165220	31491003	18924096
13782804	1153405	94
91323408	31610940	19326155
553819	20620	0
81859131	31084144	17974289
85173394	31369070	18642325
7907018	831973	33
54516547	26091857	33964
89677549	31573040	19221448
