date,totalcases,recovery,death,partial,fully,booster,totalcases_change,recovery_change,death_change,partial_change,fully_change,booster_change
2021-01-02,599675,495066,15955,110118,3,0,0,0,0,0,0,0
2021-01-09,656408,552374,17020,300249,3941,0,56733,57308,1065,190131,3938,0
2021-01-16,704262,608068,18003,553819,20620,0,47854,55694,983,253570,16679,0
2021-01-23,741738,658971,19053,815195,54593,0,37476,50903,1050,261376,33973,0
2021-01-30,772321,700900,19909,968205,111205,0,30583,41929,856,153010,56612,0
2021-02-06,797502,734634,20554,1081963,172339,0,25181,33734,645,113758,61134,0
2021-02-13,819088,765458,21031,1279527,294680,3,21586,30824,477,197564,122341,3
2021-02-20,839265,789828,21370,1484005,413781,8,20177,24370,339,204478,119101,5
2021-02-27,860037,811356,21623,1873761,530369,11,20772,21528,253,389756,116588,3
2021-03-06,880546,831887,21849,2371024,578708,12,20509,20531,226,497263,48339,1
2021-03-13,902871,852528,22062,2983627,611653,16,22325,20641,213,612603,32945,4
2021-03-20,928287,873580,22250,3922570,646557,19,25416,21052,188,938943,34904,3
2021-03-27,960630,896198,22485,5041203,685239,22,32343,22618,235,1118633,38682,3
2021-04-03,1002282,921449,22682,6355667,733317,27,41652,25251,197,1314464,48078,5
2021-04-10,1058461,958622,22981,7907018,831973,33,56179,37173,299,1551351,98656,6
2021-04-17,1119636,1003545,23321,9888945,933919,45,61175,44923,340,1981927,101946,12
2021-04-24,1176696,1061696,23709,11932958,1038690,65,57060,58151,388,2044013,104771,20
2021-05-01,1232053,1119225,24097,13782804,1153405,94,55357,57529,388,1849846,114715,29
2021-05-08,1282787,1174334,24434,15797041,1282020,130,50734,55109,337,2014237,128615,36
2021-05-15,1324657,1226846,24723,18262722,1442851,160,41870,52512,289,2465681,160831,30
2021-05-22,1355021,1274644,25033,20901862,1687596,202,30364,47798,310,2639140,244745,42
2021-05-29,1374781,1313429,25303,23353297,2013619,256,19760,38785,270,2451435,326023,54
2021-06-05,1388330,1340103,25511,25983643,2786610,377,13549,26674,208,2630346,772991,121
2021-06-12,1397803,1357479,25642,28877658,4419661,516,9473,17376,131,2894015,1633051,139
2021-06-19,1404524,1369823,25762,32086233,6893862,791,6721,12344,120,3208575,2474201,275
2021-06-26,1409175,1377700,25854,35394551,9768213,1069,4651,7877,92,3308318,2874351,278
2021-07-03,1412620,1384025,25923,39047671,13053759,1530,3445,6325,69,3653120,3285546,461
2021-07-10,1415902,1388204,25990,42492957,16180347,3017,3282,4179,67,3445286,3126588,1487
2021-07-17,1418624,1391700,26042,45300763,18699268,3420,2722,3496,52,2807806,2518921,403
2021-07-24,1422328,1394815,26087,47661261,20801744,3893,3704,3115,45,2360498,2102476,473
2021-07-31,1427652,1397657,26121,49515689,22408293,6214,5324,2842,34,1854428,1606549,2321
2021-08-07,1436101,1401585,26151,50695024,23393792,8813,8449,3928,30,1179335,985499,2599
2021-08-14,1449335,1407361,26180,51671716,24173839,11803,13234,5776,29,976692,780047,2990
2021-08-21,1466863,1416718,26222,52563038,24851771,14789,17528,9357,42,891322,677932,2986
2021-08-28,1488599,1432701,26304,53303118,25368333,17764,21736,15983,82,740080,516562,2975
2021-09-04,1514173,1451027,26426,53960676,25774085,24200,25574,18326,122,657558,405752,6436
2021-09-11,1541979,1473415,26592,54516547,26091857,33964,27806,22388,166,555871,317772,9764
2021-09-18,1572563,1499232,26810,55154715,26421787,87572,30584,25817,218,638168,329930,53608
2021-09-25,1602368,1527436,27052,55906674,26797552,160770,29805,28204,242,751959,375765,73198
2021-10-02,1631290,1558123,27342,56528483,27141343,201722,28922,30687,290,621809,343791,40952
2021-10-09,1656665,1587525,27590,57134408,27453884,287541,25375,29402,248,605925,312541,85819
2021-10-16,1677387,1615179,27863,57671217,27732389,376367,20722,27654,273,536809,278505,88826
2021-10-23,1695221,1639600,28128,58215150,28020899,481562,17834,24421,265,543933,288510,105195
2021-10-30,1711273,1658850,28345,58717091,28291344,583059,16052,19250,217,501941,270445,101497
2021-11-06,1727753,1676187,28510,59150324,28495260,723010,16480,17337,165,433233,203916,139951
2021-11-13,1745296,1692764,28705,59595626,28689876,876437,17543,16577,195,445302,194616,153427
2021-11-20,1763016,1706735,28860,60024969,28871830,1031067,17720,13971,155,429343,181954,154630
2021-11-27,1781997,1728882,28997,60450747,29007074,1191885,18981,22147,137,425778,135244,160818
2021-12-04,1803605,1747035,29147,62020386,29122031,2183650,21608,18153,150,1569639,114957,991765
2021-12-11,1831924,1767010,29301,63224242,29219075,2879391,28319,19975,154,1203856,97044,695741
2021-12-18,1886254,1791215,29445,64937274,29305421,4188168,54330,24205,144,1713032,86346,1308777
2021-12-25,2035839,1825271,29586,67290029,29390929,6228744,149585,34056,141,2352755,85508,2040576
2022-01-01,2307238,1884425,29851,68969997,29442935,7750664,271399,59154,265,1679968,52006,1521920
2022-01-08,2592273,2075378,30370,71173617,29538581,9727276,285035,190953,519,2203620,95646,1976612
2022-01-15,2805431,2340158,31279,73723271,29675326,11972542,213158,264780,909,2549654,136745,2245266
2022-01-22,2950379,2557703,32471,75828249,29808707,13812318,144948,217545,1192,2104978,133381,1839776
2022-01-29,3061965,2758181,33573,77588951,30069550,15182231,111586,200478,1102,1760702,260843,1369913
2022-02-05,3148712,2900027,34517,78902627,30341791,16039552,86747,141846,944,1313676,272241,857321
2022-02-12,3215077,2994825,35282,79783888,30579792,16603208,66365,94798,765,881261,238001,563656
2022-02-19,3261669,3071058,35828,80399443,30760426,16982289,46592,76233,546,615555,180634,379081
2022-02-26,3302011,3126864,36273,80856070,30879345,17273919,40342,55806,445,456627,118919,291630
2022-03-05,3339936,3163961,36641,81442547,30961200,17743906,37925,37097,368,586477,81855,469987
2022-03-12,3378340,3204479,36935,81657327,31020758,17862699,38404,40518,294,214780,59558,118793
2022-03-19,3417497,3234316,37224,81859131,31084144,17974289,39157,29837,289,201804,63386,111590
2022-03-26,3466134,3261643,37480,82043808,31135950,18105203,48637,27327,256,184677,51806,130914
2022-04-02,3527722,3290042,37737,82265892,31197417,18198676,61588,28399,257,222084,61467,93473
2022-04-09,3603242,3323824,38074,82553628,31224559,18274813,75520,33782,337,287736,27142,76137
2022-04-16,3671855,3369129,38516,83009859,31244577,18340536,68613,45305,442,456231,20018,65723
2022-04-23,3731292,3414461,39003,83596095,31290709,18444581,59437,45332,487,586236,46132,104045
2022-04-30,3777600,3440144,39515,84066328,31311704,18526309,46308,25683,512,470233,20995,81728
2022-05-07,3815158,3462757,39996,84471986,31332485,18552852,37558,22613,481,405658,20781,26543
2022-05-14,3844377,3477406,40479,84782244,31346409,18589083,29219,14649,483,310258,13924,36231
2022-05-21,3866156,3495299,40783,85173394,31369070,18642325,21779,17893,304,391150,22661,53242
2022-05-28,3883660,3506944,41086,85422600,31392253,18676869,17504,11645,303,249206,23183,34544
2022-06-04,3899853,3578840,41336,85644848,31409138,18708997,16193,71896,250,222248,16885,32128
2022-06-11,3916066,3605717,41541,85845856,31416997,18738989,16213,26877,205,201008,7859,29992
2022-06-18,3931525,3613210,41683,86029705,31431466,18767253,15459,7493,142,183849,14469,28264
2022-06-25,3949279,3625435,41823,86212881,31444019,18794654,17754,12225,140,183176,12553,27401
2022-07-02,3971942,3635714,41980,86310020,31452745,18812216,22663,10279,157,97139,8726,17562
2022-07-09,3999497,3669318,42155,86552454,31466635,18849880,27555,33604,175,242434,13890,37664
2022-07-16,4031935,3685122,42403,86809232,31478759,18886012,32438,15804,248,256778,12124,36132
2022-07-23,4065255,3694203,42701,87165220,31491003,18924096,33320,9081,298,355988,12244,38084
2022-07-30,4094107,3705369,42968,87589077,31494992,18970730,28852,11166,267,423857,3989,46634
2022-08-06,4119798,3717475,43316,87878452,31504806,18997955,25691,12106,348,289375,9814,27225
2022-08-13,4143702,3728690,43579,88086269,31514778,19023452,23904,11215,263,207817,9972,25497
2022-08-20,4166791,3739195,43889,88420782,31527377,19056954,23089,10505,310,334513,12599,33502
2022-08-27,4187896,3749180,44199,88638500,31536314,19078847,21105,9985,310,217718,8937,21893
2022-09-03,4206376,3758659,44455,88905621,31548814,19116950,18480,9479,256,267121,12500,38103
2022-09-10,4223104,3767568,44685,89093264,31557033,19154755,16728,8909,230,187643,8219,37805
2022-09-17,4240663,3776167,44914,89356762,31564561,19191077,17559,8599,229,263498,7528,36322
2022-09-24,4259309,3783680,45129,89677549,31573040,19221448,18646,7513,215,320787,8479,30371
2022-10-01,4278941,3792182,45366,90216065,31582577,19254109,19632,8502,237,538516,9537,32661
2022-10-08,4299349,3800399,45660,90800849,31597124,19293359,20408,8217,294,584784,14547,39250
2022-10-15,4320812,3807844,46050,91323408,31610940,19326155,21463,7445,390,522559,13816,32796
2022-10-22,4342177,3818008,46439,91944406,31624234,19358888,21365,10164,389,620998,13294,32733
2022-10-29,4363146,3828006,46824,92620163,31637495,19396355,20969,9998,385,675757,13261,37467
2022-11-05,4381544,3837834,47180,93279202,31649663,19434032,18398,9828,356,659039,12168,37677
2022-11-12,4396824,3847596,47486,93770822,31660489,19469862,15280,9762,306,491620,10826,35830
2022-11-19,4411414,3855755,47812,94348589,31670833,19505955,14590,8159,326,577767,10344,36093
2022-11-26,4426556,3861766,48126,94887590,31684951,19549569,15142,6011,314,539001,14118,43614
2022-12-03,4442767,3870577,48411,95277654,31695940,19595897,16211,8811,285,390064,10989,46328
2022-12-10,4459401,3870672,48697,95588037,31706759,19623804,16634,95,286,310383,10819,27907
2022-12-17,4476807,3880968,49086,96064131,31722391,19667451,17406,10296,389,476094,15632,43647
2022-12-24,4493217,3886607,49439,96225904,31727984,19681297,16410,5639,353,161773,5593,13846
2022-12-31,4509923,3893174,49705,96303716,31731097,19690428,16706,6567,266,77812,3113,9131
2023-01-07,4526747,3899202,50043,96459054,31738450,19708447,16824,6028,338,155338,7353,18019
2023-01-14,4540446,3906490,50356,96694837,31748127,19730680,13699,7288,313,235783,9677,22233
2023-01-21,4551915,3912912,50646,96851120,31755799,19744826,11469,6422,290,156283,7672,14146
2023-01-28,4562263,3918142,50903,96966754,31609261,19667192,10348,5230,257,115634,-146538,-77634
2023-02-04,4572608,3923113,51135,97039451,31614086,19674278,10345,4971,232,72697,4825,7086
2023-02-11,4582941,3927976,51352,97124303,31614420,19677338,10333,4863,217,84852,334,3060
2023-02-18,4592618,3932423,51522,97185449,31618051,19681644,9677,4447,170,61146,3631,4306
2023-02-25,4601788,3936816,51692,97235426,31621103,19685086,9170,4393,170,49977,3052,3442
2023-03-04,4610739,3940788,51855,97289351,31625283,19688475,8951,3972,163,53925,4180,3389
2023-03-11,4619331,3944705,52041,97347820,31626078,19689830,8592,3917,186,58469,795,1355
2023-03-18,4627685,3948396,52200,97403219,31627657,19692265,8354,3691,159,55399,1579,2435
2023-03-25,4635544,3951957,52334,97449756,31628446,19693663,7859,3561,134,46537,789,1398
2023-04-01,4642640,3954921,52483,97511144,31630627,19697002,7096,2964,149,61388,2181,3339
2023-04-08,4648940,3954939,52629,97563951,31627906,19695997,6300,18,146,52807,-2721,-1005
2023-04-15,4655557,3954939,52747,97640192,31628918,19698425,6617,0,118,76241,1012,2428
2023-04-22,4661333,3954939,52897,97737941,31629124,19699647,5776,0,150,97749,206,1222
2023-04-29,4666570,3954939,53038,97795110,31629667,19701113,5237,0,141,57169,543,1466
2023-05-06,4671221,3954939,53159,97847310,31627553,19700116,4651,0,121,52200,-2114,-997
2023-05-13,4675361,3954939,53271,97946414,31627321,19700496,4140,0,112,99104,-232,380
2023-05-20,4679079,3954939,53393,98024545,31627698,19701536,3718,0,122,78131,377,1040
2023-05-27,4682820,3954939,53478,98070499,31626766,19701102,3741,0,85,45954,-932,-434
2023-06-03,4685967,3954939,53587,98115846,31626513,19701202,3147,0,109,45347,-253,100
2023-06-10,4688316,3954939,53664,98166251,31623650,19699481,2349,0,77,50405,-2863,-1721
2023-06-17,4690254,3954939,53717,98182682,31615571,19700286,1938,0,53,16431,-8079,805
2023-06-24,4692169,3954939,53782,98213922,31614866,19699977,1915,0,65,31240,-705,-309
2023-07-01,4694177,3954939,53834,98241992,31614842,19700285,2008,0,52,28070,-24,308
2023-07-08,4695560,3954939,53863,98258505,31611268,19697527,1383,0,29,16513,-3574,-2758
2023-07-15,4697112,3954939,53893,98274439,31609916,19696467,1552,0,30,15934,-1352,-1060
2023-07-22,4698924,3954939,53946,98286956,31608746,19695516,1812,0,53,12517,-1170,-951
2023-07-29,4700792,3954939,53984,98309420,31608760,19695911,1868,0,38,22464,14,395
2023-08-05,4703090,3954939,54045,98319857,31606193,19693832,2298,0,61,10437,-2567,-2079
2023-08-12,4705608,3954939,54084,98330175,31605144,19693007,2518,0,39,10318,-1049,-825
2023-08-19,4709009,3954939,54138,98344784,31604389,19692407,3401,0,54,14609,-755,-600
2023-08-26,4714054,3954939,54203,98358015,31603437,19691605,5045,0,65,13231,-952,-802
2023-09-02,4719161,3954939,54279,98369539,31603073,19691327,5107,0,76,11524,-364,-278
2023-09-09,4725058,3954939,54396,98377797,31599752,19688625,5897,0,117,8258,-3321,-2702
2023-09-16,4732245,3954939,54521,98387466,31598672,19687643,7187,0,125,9669,-1080,-982
2023-09-23,4741213,3954939,54654,98395390,31597417,19686566,8968,0,133,7924,-1255,-1077
2023-09-30,4753083,3954939,54832,98410188,31596724,19685746,11870,0,178,14798,-693,-820
2023-10-07,4763744,3954939,55037,98427435,31593859,19683691,10661,0,205,17247,-2865,-2055
2023-10-14,4773152,3954939,55262,98509278,31592947,19683710,9408,0,225,81843,-912,19
2023-10-21,4782083,3954939,55478,98868933,31592774,19687207,8931,0,216,359655,-173,3497
2023-10-28,4791630,3954939,55708,99331994,31593638,19693262,9547,0,230,463061,864,6055
