dateID,date,month,year
1,2021-01-02,January,2021
2,2021-01-09,January,2021
3,2021-01-16,January,2021
4,2021-01-23,January,2021
5,2021-01-30,January,2021
6,2021-02-06,February,2021
7,2021-02-13,February,2021
8,2021-02-20,February,2021
9,2021-02-27,February,2021
10,2021-03-06,March,2021
11,2021-03-13,March,2021
12,2021-03-20,March,2021
13,2021-03-27,March,2021
14,2021-04-03,April,2021
15,2021-04-10,April,2021
16,2021-04-17,April,2021
17,2021-04-24,April,2021
18,2021-05-01,May,2021
19,2021-05-08,May,2021
20,2021-05-15,May,2021
21,2021-05-22,May,2021
22,2021-05-29,May,2021
23,2021-06-05,June,2021
24,2021-06-12,June,2021
25,2021-06-19,June,2021
26,2021-06-26,June,2021
27,2021-07-03,July,2021
28,2021-07-10,July,2021
29,2021-07-17,July,2021
30,2021-07-24,July,2021
31,2021-07-31,July,2021
32,2021-08-07,August,2021
33,2021-08-14,August,2021
34,2021-08-21,August,2021
35,2021-08-28,August,2021
36,2021-09-04,September,2021
37,2021-09-11,September,2021
38,2021-09-18,September,2021
39,2021-09-25,September,2021
40,2021-10-02,October,2021
41,2021-10-09,October,2021
42,2021-10-16,October,2021
43,2021-10-23,October,2021
44,2021-10-30,October,2021
45,2021-11-06,November,2021
46,2021-11-13,November,2021
47,2021-11-20,November,2021
48,2021-11-27,November,2021
49,2021-12-04,December,2021
50,2021-12-11,December,2021
51,2021-12-18,December,2021
52,2021-12-25,December,2021
53,2022-01-01,January,2022
54,2022-01-08,January,2022
55,2022-01-15,January,2022
56,2022-01-22,January,2022
57,2022-01-29,January,2022
58,2022-02-05,February,2022
59,2022-02-12,February,2022
60,2022-02-19,February,2022
61,2022-02-26,February,2022
62,2022-03-05,March,2022
63,2022-03-12,March,2022
64,2022-03-19,March,2022
65,2022-03-26,March,2022
66,2022-04-02,April,2022
67,2022-04-09,April,2022
68,2022-04-16,April,2022
69,2022-04-23,April,2022
70,2022-04-30,April,2022
71,2022-05-07,May,2022
72,2022-05-14,May,2022
73,2022-05-21,May,2022
74,2022-05-28,May,2022
75,2022-06-04,June,2022
76,2022-06-11,June,2022
77,2022-06-18,June,2022
78,2022-06-25,June,2022
79,2022-07-02,July,2022
80,2022-07-09,July,2022
81,2022-07-16,July,2022
82,2022-07-23,July,2022
83,2022-07-30,July,2022
84,2022-08-06,August,2022
85,2022-08-13,August,2022
86,2022-08-20,August,2022
87,2022-08-27,August,2022
88,2022-09-03,September,2022
89,2022-09-10,September,2022
90,2022-09-17,September,2022
91,2022-09-24,September,2022
92,2022-10-01,October,2022
93,2022-10-08,October,2022
94,2022-10-15,October,2022
95,2022-10-22,October,2022
96,2022-10-29,October,2022
97,2022-11-05,November,2022
98,2022-11-12,November,2022
99,2022-11-19,November,2022
100,2022-11-26,November,2022
101,2022-12-03,December,2022
102,2022-12-10,December,2022
103,2022-12-17,December,2022
104,2022-12-24,December,2022
105,2022-12-31,December,2022
106,2023-01-07,January,2023
107,2023-01-14,January,2023
108,2023-01-21,January,2023
109,2023-01-28,January,2023
110,2023-02-04,February,2023
111,2023-02-11,February,2023
112,2023-02-18,February,2023
113,2023-02-25,February,2023
114,2023-03-04,March,2023
115,2023-03-11,March,2023
116,2023-03-18,March,2023
117,2023-03-25,March,2023
118,2023-04-01,April,2023
119,2023-04-08,April,2023
120,2023-04-15,April,2023
121,2023-04-22,April,2023
122,2023-04-29,April,2023
123,2023-05-06,May,2023
124,2023-05-13,May,2023
125,2023-05-20,May,2023
126,2023-05-27,May,2023
127,2023-06-03,June,2023
128,2023-06-10,June,2023
129,2023-06-17,June,2023
130,2023-06-24,June,2023
131,2023-07-01,July,2023
132,2023-07-08,July,2023
133,2023-07-15,July,2023
134,2023-07-22,July,2023
135,2023-07-29,July,2023
136,2023-08-05,August,2023
137,2023-08-12,August,2023
138,2023-08-19,August,2023
139,2023-08-26,August,2023
140,2023-09-02,September,2023
141,2023-09-09,September,2023
142,2023-09-16,September,2023
143,2023-09-23,September,2023
144,2023-09-30,September,2023
145,2023-10-07,October,2023
146,2023-10-14,October,2023
147,2023-10-21,October,2023
148,2023-10-28,October,2023
149,2023-11-04,November,2023
150,2023-11-11,November,2023
151,2023-11-18,November,2023
152,2023-11-25,November,2023
153,2023-12-02,December,2023
154,2023-12-09,December,2023
155,2023-12-16,December,2023
156,2023-12-23,December,2023
157,2023-12-30,December,2023
