Surrogate Keys,date,prname,province,totalcases,numdeaths,recovery,partial,full,booster
1,2020-02-01,British Columbia,BC,1,0,0,0,0,0
2,2020-02-01,Alberta,AB,0,0,0,0,0,0
3,2020-02-01,Saskatchewan,SK,0,0,0,0,0,0
4,2020-02-01,Manitoba,MB,0,0,0,0,0,0
5,2020-02-01,Ontario,ON,3,0,0,0,0,0
6,2020-02-01,Quebec,QC,0,0,0,0,0,0
7,2020-02-01,Newfoundland and Labrador,NL,0,0,0,0,0,0
8,2020-02-01,New Brunswick,NB,0,0,0,0,0,0
9,2020-02-01,Nova Scotia,NS,0,0,0,0,0,0
10,2020-02-01,Prince Edward Island,PE,0,0,0,0,0,0
11,2020-02-01,Yukon,YT,0,0,0,0,0,0
12,2020-02-01,Northwest Territories,NT,0,0,0,0,0,0
13,2020-02-01,Nunavut,NU,0,0,0,0,0,0
14,2020-02-08,British Columbia,BC,4,0,0,0,0,0
15,2020-02-08,Alberta,AB,0,0,0,0,0,0
16,2020-02-08,Saskatchewan,SK,0,0,0,0,0,0
17,2020-02-08,Manitoba,MB,0,0,0,0,0,0
18,2020-02-08,Ontario,ON,4,0,0,0,0,0
19,2020-02-08,Quebec,QC,0,0,0,0,0,0
20,2020-02-08,Newfoundland and Labrador,NL,0,0,0,0,0,0
21,2020-02-08,New Brunswick,NB,0,0,0,0,0,0
22,2020-02-08,Nova Scotia,NS,0,0,0,0,0,0
23,2020-02-08,Prince Edward Island,PE,0,0,0,0,0,0
24,2020-02-08,Yukon,YT,0,0,0,0,0,0
25,2020-02-08,Northwest Territories,NT,0,0,0,0,0,0
26,2020-02-08,Nunavut,NU,0,0,0,0,0,0
27,2020-02-15,British Columbia,BC,4,0,0,0,0,0
28,2020-02-15,Alberta,AB,0,0,0,0,0,0
29,2020-02-15,Saskatchewan,SK,0,0,0,0,0,0
30,2020-02-15,Manitoba,MB,0,0,0,0,0,0
31,2020-02-15,Ontario,ON,4,0,0,0,0,0
32,2020-02-15,Quebec,QC,0,0,0,0,0,0
33,2020-02-15,Newfoundland and Labrador,NL,0,0,0,0,0,0
34,2020-02-15,New Brunswick,NB,0,0,0,0,0,0
35,2020-02-15,Nova Scotia,NS,0,0,0,0,0,0
36,2020-02-15,Prince Edward Island,PE,0,0,0,0,0,0
37,2020-02-15,Yukon,YT,0,0,0,0,0,0
38,2020-02-15,Northwest Territories,NT,0,0,0,0,0,0
39,2020-02-15,Nunavut,NU,0,0,0,0,0,0
40,2020-02-22,British Columbia,BC,6,0,0,0,0,0
41,2020-02-22,Alberta,AB,0,0,0,0,0,0
42,2020-02-22,Saskatchewan,SK,0,0,0,0,0,0
43,2020-02-22,Manitoba,MB,0,0,0,0,0,0
44,2020-02-22,Ontario,ON,5,0,0,0,0,0
45,2020-02-22,Quebec,QC,0,0,0,0,0,0
46,2020-02-22,Newfoundland and Labrador,NL,0,0,0,0,0,0
47,2020-02-22,New Brunswick,NB,0,0,0,0,0,0
48,2020-02-22,Nova Scotia,NS,0,0,0,0,0,0
49,2020-02-22,Prince Edward Island,PE,0,0,0,0,0,0
50,2020-02-22,Yukon,YT,0,0,0,0,0,0
51,2020-02-22,Northwest Territories,NT,0,0,0,0,0,0
52,2020-02-22,Nunavut,NU,0,0,0,0,0,0
53,2020-02-29,British Columbia,BC,7,0,0,0,0,0
54,2020-02-29,Alberta,AB,0,0,0,0,0,0
55,2020-02-29,Saskatchewan,SK,0,0,0,0,0,0
56,2020-02-29,Manitoba,MB,0,0,0,0,0,0
57,2020-02-29,Ontario,ON,18,0,0,0,0,0
58,2020-02-29,Quebec,QC,0,0,0,0,0,0
59,2020-02-29,Newfoundland and Labrador,NL,0,0,0,0,0,0
60,2020-02-29,New Brunswick,NB,0,0,0,0,0,0
61,2020-02-29,Nova Scotia,NS,0,0,0,0,0,0
62,2020-02-29,Prince Edward Island,PE,0,0,0,0,0,0
63,2020-02-29,Yukon,YT,0,0,0,0,0,0
64,2020-02-29,Northwest Territories,NT,0,0,0,0,0,0
65,2020-02-29,Nunavut,NU,0,0,0,0,0,0
66,2020-03-07,British Columbia,BC,27,0,4,0,0,0
67,2020-03-07,Alberta,AB,2,0,0,0,0,0
68,2020-03-07,Saskatchewan,SK,0,0,0,0,0,0
69,2020-03-07,Manitoba,MB,0,0,0,0,0,0
70,2020-03-07,Ontario,ON,33,0,4,0,0,0
71,2020-03-07,Quebec,QC,1,0,0,0,0,0
72,2020-03-07,Newfoundland and Labrador,NL,0,0,0,0,0,0
73,2020-03-07,New Brunswick,NB,0,0,0,0,0,0
74,2020-03-07,Nova Scotia,NS,0,0,0,0,0,0
